Topic,Username,Text,Sentiment,CleanText1,Prediction,CleanText2,CleanText3
my-home-transform-to-ceca-village-already.6426974/,marktan4422,who you voted for?,Neutral,who you voted for,Neutral,voted,voted
my-home-transform-to-ceca-village-already.6426974/,cet87,you stayed SK? ,Neutral,you stayed sk ,Negative,stayed sk,stayed sk
my-home-transform-to-ceca-village-already.6426974/,pizza235,"vote papaya somemore la

",Negative,vote papaya somemore la  ,Negative,vote papaya somemore la,vote papaya somemore la
my-home-transform-to-ceca-village-already.6426974/,Ironside,East Coast plan?,Negative,east coast plan,Negative,east coast plan,east coast plan
my-home-transform-to-ceca-village-already.6426974/,lazysundae,"ask ur mp

",Negative,ask ur mp  ,Negative,ask ur mp,ask ur mp
my-home-transform-to-ceca-village-already.6426974/,armourshrimp,Even hdb playground majority also them.,Negative,even hdb playground majority also them,Negative,even hdb playground majority also,even hdb playground majority also
my-home-transform-to-ceca-village-already.6426974/,starry_starry_night,Tanah merah is part of east coast? You got ask ah heng is this the east coast plan he talking?,Neutral,tanah merah is part of east coast you got ask ah heng is this the east coast plan he talking,Neutral,tanah merah part east coast got ask ah heng east coast plan talking,tanah merah part east coast got ask ah heng east coast plan talking
my-home-transform-to-ceca-village-already.6426974/,jkohlc2,"Why study when you can get uptron acl and land a bank job?
Singaporean kids busy study grow up to be the world's most educated and qualified grab driver and food delivery guy
",Negative,why study when you can get uptron acl and land a bank job singaporean kids busy study grow up to be the world is most educated and qualified grab driver and food delivery guy ,Negative,study get uptron acl land bank job singaporean kids busy study grow world educated qualified grab driver food delivery guy,study get uptron acl land bank job singaporean kids busy study grow world educated qualified grab driver food delivery guy
my-home-transform-to-ceca-village-already.6426974/,Macrossvin,"Are you referring to the Glade?
",Neutral,are you referring to the glade ,Neutral,referring glade,referring glade
my-home-transform-to-ceca-village-already.6426974/,nymous,"Stupid singapore.. everything only think money money money
Even if it means selling own home and eventually back to maid and coolie again",Negative,stupid singapore everything only think money money money even if it means selling own home and eventually back to maid and coolie again,Negative,stupid singapore everything think money money money even means selling home eventually back maid coolie,stupid singapore everything think money money money even means selling home eventually back maid coolie
my-home-transform-to-ceca-village-already.6426974/page-2,soaresb,Indian enclave,Negative,indian enclave,Negative,indian enclave,indian enclave
my-home-transform-to-ceca-village-already.6426974/page-2,cutekawaii,East Coast GRC residents are happy with this.,Positive,east coast grc residents are happy with this,Positive,east coast grc residents happy,east coast grc residents happy
my-home-transform-to-ceca-village-already.6426974/page-2,Temperance,Invasion of singapore,Negative,invasion of singapore,Negative,invasion singapore,invasion singapore
my-home-transform-to-ceca-village-already.6426974/page-2,Temperance,"Trees fall on ceca Indian to kill them is because our singaporean forefathers are protecting the land
Are our forefathers chinese the answer is no
Remember that time in the early 80
We had no racism against malays and indians ?
And that kampung spirit?
Our forefathers are malays chinese and indians who gave their lives to nation building

And the pap is the only reason why u guys fight zedmaster, robbedzombie and ibcatisbetter is because the pap cause us stress which imploded to infighting",Negative,trees fall on ceca indian to kill them is because our singaporean forefathers are protecting the land are our forefathers chinese the answer is no remember that time in the early  we had no racism against malays and indians  and that kampung spirit our forefathers are malays chinese and indians who gave their lives to nation building  and the pap is the only reason why u guys fight zedmaster robbedzombie and ibcatisbetter is because the pap cause us stress which imploded to infighting,Negative,trees fall ceca indian kill singaporean forefathers protecting land forefathers chinese answer remember time early racism malays indians kampung spirit forefathers malays chinese indians gave lives nation building pap reason u guys fight zedmaster robbedzombie ibcatisbetter pap cause us stress imploded infighting,trees fall  indian kill singaporean forefathers protecting land forefathers chinese answer remember time early racism malays indians kampung spirit forefathers malays chinese indians gave lives nation building pap reason u guys fight zedmaster robbedzombie ibcatisbetter pap cause us stress imploded infighting
my-home-transform-to-ceca-village-already.6426974/page-2,jetblack,"U can sell and move to elsewhere
",Positive,u can sell and move to elsewhere ,Positive,u sell move elsewhere,u sell move elsewhere
my-home-transform-to-ceca-village-already.6426974/page-2,Brionic,"go walk around simei/CBP area for the true horror

seems many CECA escape to Sg from their covid shithole",Negative,go walk around simeicbp area for the true horror  seems many ceca escape to sg from their covid shithole,Negative,go walk around simeicbp area true horror seems many ceca escape sg covid shithole,go walk around simeicbp area true horror seems many  escape sg covid shithole
my-home-transform-to-ceca-village-already.6426974/page-2,tankgunner,"my area also.
the playgrounds, badminton courts, MPH, etc all foreigners.",Negative,my area also the playgrounds badminton courts mph etc all foreigners,Negative,area also playgrounds badminton courts mph etc foreigners,area also playgrounds badminton courts mph etc foreigners
my-home-transform-to-ceca-village-already.6426974/page-2,killtime,"you guys really been kept in the dark
from the precious pap
ceca flights been coming in daily
so they fly here with empty cabins/passengers?
No right?
Is to bring in all these filths from cecaland to escape",Negative,you guys really been kept in the dark from the precious pap ceca flights been coming in daily so they fly here with empty cabinspassengers no right is to bring in all these filths from cecaland to escape,Negative,guys really kept dark precious pap ceca flights coming daily fly empty cabinspassengers right bring filths cecaland escape,guys really kept dark precious pap  flights coming daily fly empty cabinspassengers right bring filths land escape
my-home-transform-to-ceca-village-already.6426974/page-2,Mgtowyolo,Ok. We china how to make ourselves got that kind of smell? You know what I meant haaa,Neutral,ok we china how to make ourselves got that kind of smell you know what i meant haaa,Neutral,ok china make got kind smell know meant haaa,ok china make got kind smell know meant haaa
my-home-transform-to-ceca-village-already.6426974/page-2,articland05,"thank you for integrating with them

",Positive,thank you for integrating with them  ,Positive,thank integrating,thank integrating
my-home-transform-to-ceca-village-already.6426974/page-2,mcylo,It's already line that since 15 years ,Neutral,it is already line that since  years ,Negative,already line since years,already line since years
my-home-transform-to-ceca-village-already.6426974/page-2,Champion.lord88,"As a true blue singaporean, happy to see other singaporeans get trolled

",Positive,as a true blue singaporean happy to see other singaporeans get trolled  ,Positive,true blue singaporean happy see singaporeans get trolled,true blue singaporean happy see singaporeans get trolled
my-home-transform-to-ceca-village-already.6426974/page-2,theMKR,"Rental got ethic quota?

",Neutral,rental got ethic quota  ,Neutral,rental got ethic quota,rental got ethic quota
my-home-transform-to-ceca-village-already.6426974/page-2,SBC,Very sad outcome & comments here.,Positive,very sad outcome  comments here,Negative,sad outcome comments,sad outcome comments
my-home-transform-to-ceca-village-already.6426974/page-2,killtime,"what you like that???

these ceca kids also help create good jobs for singaporeans hor",Positive,what you like that  these ceca kids also help create good jobs for singaporeans hor,Negative,like ceca kids also help create good jobs singaporeans hor,like  kids also help create good jobs singaporeans hor
my-home-transform-to-ceca-village-already.6426974/page-2,TOKARA,"Report to police, those cricket balls if hit people will be a disaster",Negative,report to police those cricket balls if hit people will be a disaster,Negative,report police cricket balls hit people disaster,report police cricket balls hit people disaster
my-home-transform-to-ceca-village-already.6426974/page-2,cet87,"Best part is some of them can buy EC liao.
Most condo have ceca too.",Negative,best part is some of them can buy ec liao most condo have ceca too,Negative,best part buy ec liao condo ceca,best part buy ec liao condo 
my-home-transform-to-ceca-village-already.6426974/page-2,articland05,"no xenophobic please

",Positive,no xenophobic please  ,Positive,xenophobic please,xenophobic please
my-home-transform-to-ceca-village-already.6426974/page-2,LemonSalmon,Better than seeing self righteous singaporeans. ,Positive,better than seeing self righteous singaporeans ,Positive,better seeing self righteous singaporeans,better seeing self righteous singaporeans
my-home-transform-to-ceca-village-already.6426974/page-3,CPTMiller,"You need  be serious and get use to it.
This is Singapore  and next it is an forever foreigners land.",Negative,you need  be serious and get use to it this is singapore  and next it is an forever foreigners land,Negative,need serious get use singapore next forever foreigners land,need serious get use singapore next forever foreigners land
my-home-transform-to-ceca-village-already.6426974/page-3,blurblur123,"my house area too. 

playgrounds all CECA or their kids...",Negative,my house area too   playgrounds all ceca or their kids,Negative,house area playgrounds ceca kids,house area playgrounds  kids
my-home-transform-to-ceca-village-already.6426974/page-3,cet87,"Like 1 of my old malaysian driver used to say, before 1965, there is no singaporean, everyone are just immigrants.",Positive,like  of my old malaysian driver used to say before  there is no singaporean everyone are just immigrants,Positive,like old malaysian driver used say singaporean everyone immigrants,like old malaysian driver used say singaporean everyone immigrants
my-home-transform-to-ceca-village-already.6426974/page-3,CPTMiller,Which area is that?,Neutral,which area is that,Neutral,area,area
my-home-transform-to-ceca-village-already.6426974/page-3,Redberries,"I say... Say until so far. Might as well say we all came from China.. Your great great grandfather step foot to Singapore..
malaysian fending for himself lah..",Positive,i say say until so far might as well say we all came from china your great great grandfather step foot to singapore malaysian fending for himself lah,Positive,say say far might well say came china great great grandfather step foot singapore malaysian fending lah,say say far might well say came china great great grandfather step foot singapore malaysian fending lah
my-home-transform-to-ceca-village-already.6426974/page-3,bingsoh,my friend living his punggol with his family say one of the largest playground turf near his home which used to be controlled by the nearby local primary school traids has been taken over by traids from the yeendia international school. My friend say those local traid no choice but to move to a smaller turf nearby as this international school traids all carry cricket bats terrorizing the largest playground turf.,Negative,my friend living his punggol with his family say one of the largest playground turf near his home which used to be controlled by the nearby local primary school traids has been taken over by traids from the yeendia international school my friend say those local traid no choice but to move to a smaller turf nearby as this international school traids all carry cricket bats terrorizing the largest playground turf,Negative,friend living punggol family say one largest playground turf near home used controlled nearby local primary school traids taken traids yeendia international school friend say local traid choice move smaller turf nearby international school traids carry cricket bats terrorizing largest playground turf,friend living punggol family say one largest playground turf near home used controlled nearby local primary school traids taken traids yeendia international school friend say local traid choice move smaller turf nearby international school traids carry cricket bats terrorizing largest playground turf
my-home-transform-to-ceca-village-already.6426974/page-3,tokiya,"Singapore an early believer of India's potential, says PM Lee at launch of book on their relations",Neutral,singapore an early believer of india is potential says pm lee at launch of book on their relations,Negative,singapore early believer india potential says pm lee launch book relations,singapore early believer india potential says pm lee launch book relations
my-home-transform-to-ceca-village-already.6426974/page-3,singaporean886,"no choice..  

Tanah merah close to Chennai business park.. and many condo there....  

If U wan singaporeanprok neighborhood can try move to heartland location like Cck, yishun kind...  ",Negative,no choice    tanah merah close to chennai business park and many condo there    if u wan singaporeanprok neighborhood can try move to heartland location like cck yishun kind  ,Negative,choice tanah merah close chennai business park many condo u wan singaporeanprok neighborhood try move heartland location like cck yishun kind,choice tanah merah close chennai business park many condo u wan singaporeanprok neighborhood try move heartland location like cck yishun kind
my-home-transform-to-ceca-village-already.6426974/page-3,Evil_Boss,"u better respect them, they will be the bosses of your kids.
foreigners are better than singaporeans dont u know that",Positive,u better respect them they will be the bosses of your kids foreigners are better than singaporeans dont u know that,Positive,u better respect bosses kids foreigners better singaporeans dont u know,u better respect bosses kids foreigners better singaporeans dont u know
my-home-transform-to-ceca-village-already.6426974/page-3,-Hera-,serves you right.....who you vote for,Positive,serves you rightwho you vote for,Positive,serves rightwho vote,serves rightwho vote
my-home-transform-to-ceca-village-already.6426974/page-3,DNAT11,"almost everywhere
my block oso many
surprised to met a male 30+ v polite, i pressed to wait the lift he thanked me n said have a nice day when he stepped outta the lift",Positive,almost everywhere my block oso many surprised to met a male  v polite i pressed to wait the lift he thanked me n said have a nice day when he stepped outta the lift,Positive,almost everywhere block oso many surprised met male v polite pressed wait lift thanked n said nice day stepped outta lift,almost everywhere block oso many surprised met male v polite pressed wait lift thanked n said nice day stepped outta lift
my-home-transform-to-ceca-village-already.6426974/page-3,Orionsat,Cecawhoreans.,Negative,cecawhoreans,Negative,cecawhoreans,whoreans
my-home-transform-to-ceca-village-already.6426974/page-3,Platinumstartvf,"Probably just arrived SG not long ago so keep the snake head down and pretend to be humble. Wait after a year or so, you see their true colors 
In essence, make the singaporean kids study until so jia lat and some even go kill themselves for wat fuck? Take student loan to pay somemore for university and then can't find job to pay back loan. Creditors come knocking your door to demand payment.... all these shiat... in the end, jobs taken by CECA from UPTRON listen ah it's UPTRON. Really is KNN-ish",Negative,probably just arrived sg not long ago so keep the snake head down and pretend to be humble wait after a year or so you see their true colors  in essence make the singaporean kids study until so jia lat and some even go kill themselves for wat fuck take student loan to pay somemore for university and then can not find job to pay back loan creditors come knocking your door to demand payment all these shiat in the end jobs taken by ceca from uptron listen ah it is uptron really is knnish,Negative,probably arrived sg long ago keep snake head pretend humble wait year see true colors essence make singaporean kids study jia lat even go kill wat fuck take student loan pay somemore university find job pay back loan creditors come knocking door demand payment shiat end jobs taken ceca uptron listen ah uptron really knnish,probably arrived sg long ago keep snake head pretend humble wait year see true colors essence make singaporean kids study jia lat even go kill wat fuck take student loan pay somemore university find job pay back loan creditors come knocking door demand payment shiat end jobs taken  uptron listen ah uptron really knnish
my-home-transform-to-ceca-village-already.6426974/page-3,TUV2008,"All the condo around Chennai business park are invaded my ceca, one of them even have ceca clinic and provision shop cater for them exclusively.",Negative,all the condo around chennai business park are invaded my ceca one of them even have ceca clinic and provision shop cater for them exclusively,Negative,condo around chennai business park invaded ceca one even ceca clinic provision shop cater exclusively,condo around chennai business park invaded  one even  clinic provision shop cater exclusively
my-home-transform-to-ceca-village-already.6426974/page-3,tokiya,"they are here to create jobs for singaporeans, not take up jobs and deny singaporeans ok?

61% approved.",Positive,they are here to create jobs for singaporeans not take up jobs and deny singaporeans ok   approved,Negative,create jobs singaporeans take jobs deny singaporeans ok approved,create jobs singaporeans take jobs deny singaporeans ok approved
my-home-transform-to-ceca-village-already.6426974/page-3,ToonBlue,You make your choice now pls don't complain,Neutral,you make your choice now pls do not complain,Positive,make choice pls complain,make choice pls complain
my-home-transform-to-ceca-village-already.6426974/page-3,kamhwee72,"Create good grab jobs right?
",Negative,create good grab jobs right ,Negative,create good grab jobs right,create good grab jobs right
my-home-transform-to-ceca-village-already.6426974/page-4,ToonBlue,.... Still a job as long as it is a job don't complain ,Positive, still a job as long as it is a job do not complain ,Positive,still job long job complain,still job long job complain
my-home-transform-to-ceca-village-already.6426974/page-4,nymous,"Ceca invade sinkapore and u still defend ceca.. is that cowardice or stupidity
U think under ceca, u can still be that cocky and stupid? Why dont u ask that dalit get raped in ceca land for ceca hard reality",Negative,ceca invade sinkapore and u still defend ceca is that cowardice or stupidity u think under ceca u can still be that cocky and stupid why dont u ask that dalit get raped in ceca land for ceca hard reality,Negative,ceca invade sinkapore u still defend ceca cowardice stupidity u think ceca u still cocky stupid dont u ask dalit get raped ceca land ceca hard reality, invade sinkapore u still defend  cowardice stupidity u think  u still cocky stupid dont u ask dalit get raped  land  hard reality
my-home-transform-to-ceca-village-already.6426974/page-4,trupurple,Eh I went to Sentosa CECA kids with family up tramps I almost thought tourism is back,Negative,eh i went to sentosa ceca kids with family up tramps i almost thought tourism is back,Negative,eh went sentosa ceca kids family tramps almost thought tourism back,eh went sentosa  kids family tramps almost thought tourism back
my-home-transform-to-ceca-village-already.6426974/page-4,stewpig,"You already said its empty field.

Means anybody can use",Positive,you already said its empty field  means anybody can use,Positive,already said empty field means anybody use,already said empty field means anybody use
my-home-transform-to-ceca-village-already.6426974/page-4,tokiya,"our forefathers had the loyalty and grit to build this country from nothing.
CECAs have their heart in their CECA-land.
Look at the banker who posted the pic of torn SG flag shirt with CECA flag underneath, hordes of thousands of CECAs running from SG to India when COVID broke out in SG, CECA security guard imposing his caste culture attitude on our singaporean security guard.

Our country has been sold.",Negative,our forefathers had the loyalty and grit to build this country from nothing cecas have their heart in their cecaland look at the banker who posted the pic of torn sg flag shirt with ceca flag underneath hordes of thousands of cecas running from sg to india when covid broke out in sg ceca security guard imposing his caste culture attitude on our singaporean security guard  our country has been sold,Negative,forefathers loyalty grit build country nothing cecas heart cecaland look banker posted pic torn sg flag shirt ceca flag underneath hordes thousands cecas running sg india covid broke sg ceca security guard imposing caste culture attitude singaporean security guard country sold,forefathers loyalty grit build country nothing s heart land look banker posted pic torn sg flag shirt  flag underneath hordes thousands s running sg india covid broke sg  security guard imposing caste culture attitude singaporean security guard country sold
my-home-transform-to-ceca-village-already.6426974/page-4,nymous,I always say this stupid is ceca.. sophisticated and cunning one,Negative,i always say this stupid is ceca sophisticated and cunning one,Negative,always say stupid ceca sophisticated cunning one,always say stupid  sophisticated cunning one
my-home-transform-to-ceca-village-already.6426974/page-4,sartorial,this. you guys really believe that the flights have been empty all this while ,Neutral,this you guys really believe that the flights have been empty all this while ,Neutral,guys really believe flights empty,guys really believe flights empty
my-home-transform-to-ceca-village-already.6426974/page-4,sartorial,"traitor pinky sold us out. bringing in scums who in turn create more little scums, polluting our country.",Negative,traitor pinky sold us out bringing in scums who in turn create more little scums polluting our country,Negative,traitor pinky sold us bringing scums turn create little scums polluting country,traitor pinky sold us bringing scums turn create little scums polluting country
my-home-transform-to-ceca-village-already.6426974/page-4,SBC,Looks like Punggol pricing will be dropping v soon.,Neutral,looks like punggol pricing will be dropping v soon,Negative,looks like punggol pricing dropping v soon,looks like punggol pricing dropping v soon
my-home-transform-to-ceca-village-already.6426974/page-4,Platinumstartvf,I am pretty sure there are already CECA with singaporeanbu liao. What if your daughter one day brings home a CECA boyfriend or planning to get married? Will you accept or decline? WWYD?,Neutral,i am pretty sure there are already ceca with singaporeanbu liao what if your daughter one day brings home a ceca boyfriend or planning to get married will you accept or decline wwyd,Neutral,pretty sure already ceca singaporeanbu liao daughter one day brings home ceca boyfriend planning get married accept decline wwyd,pretty sure already  singaporeanbu liao daughter one day brings home  boyfriend planning get married accept decline wwyd
my-home-transform-to-ceca-village-already.6426974/page-4,jack-320,61% voted for this,Neutral, voted for this,Neutral,voted,voted
my-home-transform-to-ceca-village-already.6426974/page-4,Hiling care,"Please show some respect to the talents please.

Singapore is for everyone and CPF is not your money.

your daughters will all be fighting to let them pump whenever our talents are stressed.",Positive,please show some respect to the talents please  singapore is for everyone and cpf is not your money  your daughters will all be fighting to let them pump whenever our talents are stressed,Positive,please show respect talents please singapore everyone cpf money daughters fighting let pump whenever talents stressed,please show respect talents please singapore everyone cpf money daughters fighting let pump whenever talents stressed
my-home-transform-to-ceca-village-already.6426974/page-4,Matjes,You might be surprised that LHL was not the one who started it all.,Neutral,you might be surprised that lhl was not the one who started it all,Neutral,might surprised lhl one started,might surprised lhl one started
my-home-transform-to-ceca-village-already.6426974/page-4,fascist,"Of course it didnt start from LHL. immigrants have been coming to singapore since the 80s - but it was well-calibrated to boost the population and also to add to the talent mix.
But from 2004-2011 it became a wholesale influx. As a result, productivity figures plummeted. the govt never want to admit that it was a mistake.",Negative,of course it didnt start from lhl immigrants have been coming to singapore since the   but it was wellcalibrated to boost the population and also to add to the talent mix but from  it became a wholesale influx as a result productivity figures plummeted the govt never want to admit that it was a mistake,Negative,course didnt start lhl immigrants coming singapore since wellcalibrated boost population also add talent mix became wholesale influx result productivity figures plummeted govt never want admit mistake,course didnt start lhl immigrants coming singapore since wellcalibrated boost population also add talent mix became wholesale influx result productivity figures plummeted govt never want admit mistake
my-home-transform-to-ceca-village-already.6426974/page-4,Tony.Manero,They're distinguished guests okay. And you voted for it. So don't complain,Positive,they are distinguished guests okay and you voted for it so do not complain,Negative,distinguished guests okay voted complain,distinguished guests okay voted complain
my-home-transform-to-ceca-village-already.6426974/page-4,HeadQuarters,I can totally imagine this horrifying sight and understand how u feel ,Negative,i can totally imagine this horrifying sight and understand how u feel ,Negative,totally imagine horrifying sight understand u feel,totally imagine horrifying sight understand u feel
my-home-transform-to-ceca-village-already.6426974/page-4,stairwaytoheaven,"Cecawhoreans asked for this for them and their children who are born losers thanks to you....
Just remember a lot are fake degrees holders who earns more than both you and your spouse combined...good luck to your cecawhorean children",Negative,cecawhoreans asked for this for them and their children who are born losers thanks to you just remember a lot are fake degrees holders who earns more than both you and your spouse combinedgood luck to your cecawhorean children,Positive,cecawhoreans asked children born losers thanks remember lot fake degrees holders earns spouse combinedgood luck cecawhorean children,whoreans asked children born losers thanks remember lot fake degrees holders earns spouse combinedgood luck whorean children
my-home-transform-to-ceca-village-already.6426974/page-4,ftpofmpo,reported for racist,Positive,reported for racist,Negative,reported racist,reported racist
my-home-transform-to-ceca-village-already.6426974/page-4,SpecialKeyboardService,"My neighbour just move in. Also ceca.
See us like like outcasts.
China neighbour also cannot take it",Negative,my neighbour just move in also ceca see us like like outcasts china neighbour also cannot take it,Negative,neighbour move also ceca see us like like outcasts china neighbour also cannot take,neighbour move also  see us like like outcasts china neighbour also cannot take
my-home-transform-to-ceca-village-already.6426974/page-5,OutBreak,No Xenophobia Pls.. india is the next superpower!,Positive,no xenophobia pls india is the next superpower,Negative,xenophobia pls india next superpower,xenophobia pls india next superpower
my-home-transform-to-ceca-village-already.6426974/page-5,TickTechToe,You should integrate with them!!,Negative,you should integrate with them,Negative,integrate,integrate
my-home-transform-to-ceca-village-already.6426974/page-5,nymous,"Good try report this racist ceca in singapore



",Negative,good try report this racist ceca in singapore    ,Negative,good try report racist ceca singapore,good try report racist  singapore
my-home-transform-to-ceca-village-already.6426974/page-5,Johnpierpontmorgan,Same in any western bank,Neutral,same in any western bank,Neutral,western bank,western bank
my-home-transform-to-ceca-village-already.6426974/page-5,Johnpierpontmorgan,"Thanks pap.
We love pap",Negative,thanks pap we love pap,Negative,thanks pap love pap,thanks pap love pap
my-home-transform-to-ceca-village-already.6426974/page-5,Azzizz81,Dun xenophobic lol,Negative,dun xenophobic lol,Negative,dun xenophobic lol,dun xenophobic lol
my-home-transform-to-ceca-village-already.6426974/page-5,Ohayo!,20% - 30% are here already lol,Negative,   are here already lol,Negative,already lol,already lol
my-home-transform-to-ceca-village-already.6426974/page-5,xiao.xin,"Goal 2031 - Cricket World Cup 

		",Negative,goal   cricket world cup     ,Negative,goal cricket world cup,goal cricket world cup
my-home-transform-to-ceca-village-already.6426974/page-5,BeHappyLo,make my wife and I very depressed too!!!,Negative,make my wife and i very depressed too,Negative,make wife depressed,make wife depressed
my-home-transform-to-ceca-village-already.6426974/page-5,pikafunk3,"why is this a problem?
they do not affect you what?",Positive,why is this a problem they do not affect you what,Positive,problem affect,problem affect
my-home-transform-to-ceca-village-already.6426974/page-5,figo16,luckily i use ocbc and bank of china few or no ceca in these banks,Negative,luckily i use ocbc and bank of china few or no ceca in these banks,Negative,luckily use ocbc bank china ceca banks,luckily use ocbc bank china  banks
my-home-transform-to-ceca-village-already.6426974/page-5,OutBreak,Be Happy.. don't be depressed..,Positive,be happy do not be depressed,Negative,happy depressed,happy depressed
my-home-transform-to-ceca-village-already.6426974/page-5,nymous,"This is how the invasion spread.. first they mark the territory

For dogs they pee.. for ceca.. may be if can  rape, if cant cricket and playground.. grab whole condo and form enclaves",Negative,this is how the invasion spread first they mark the territory  for dogs they pee for ceca may be if can  rape if cant cricket and playground grab whole condo and form enclaves,Negative,invasion spread first mark territory dogs pee ceca may rape cant cricket playground grab whole condo form enclaves,invasion spread first mark territory dogs pee  may rape cant cricket playground grab whole condo form enclaves
my-home-transform-to-ceca-village-already.6426974/page-5,tokiya,"have you seen CECAs just jump into the swimming pools without showering?
they will then take over your lane if it's too crowded.",Negative,have you seen cecas just jump into the swimming pools without showering they will then take over your lane if it is too crowded,Negative,seen cecas jump swimming pools without showering take lane crowded,seen s jump swimming pools without showering take lane crowded
my-home-transform-to-ceca-village-already.6426974/page-5,pikafunk3,"take over your avatar also?



",Neutral,take over your avatar also    ,Neutral,take avatar also,take avatar also
my-home-transform-to-ceca-village-already.6426974/page-5,C_boliao,"You should post pics and says, is this Singapore or India? 
",Negative,you should post pics and says is this singapore or india  ,Negative,post pics says singapore india,post pics says singapore india
my-home-transform-to-ceca-village-already.6426974/page-5,o blong,"Ok la. Let them playground criket to let off steam..
Nice and humble ppl who contribute to ur gdp",Negative,ok la let them playground criket to let off steam nice and humble ppl who contribute to ur gdp,Negative,ok la let playground criket let steam nice humble ppl contribute ur gdp,ok la let playground criket let steam nice humble ppl contribute ur gdp
my-home-transform-to-ceca-village-already.6426974/page-5,Adonai.avatar,"singaporean kids are busy studying, going to tuition and enrichment centres. Thats why we dont see singaporean kids in playgrounds anymore 

",Neutral,singaporean kids are busy studying going to tuition and enrichment centres thats why we dont see singaporean kids in playgrounds anymore   ,Neutral,singaporean kids busy studying going tuition enrichment centres thats dont see singaporean kids playgrounds anymore,singaporean kids busy studying going tuition enrichment centres thats dont see singaporean kids playgrounds anymore
