Topic,Username,Text,Sentiment,clean_text_1,clean_text_2,clean_text_3,Prediction
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,tank_t,"Tell ccs if he is not with us he is against us. 

Engineering should up their salary by 3x",Negative,tell ccs if he is not with us he is against us   engineering should up their salary by ,tell ccs us us engineering salary,tell ccs us us engineering salary,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,HeadQuarters,They stay put in india best,Negative,they stay put in india best,stay put india best,stay put india best,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,SpecialKeyboardService,Can become nus professor,Neutral,can become nus professor,become nus professor,become nus professor,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,netzach,"Your boss is a true Singaporean. 
No to the fucking C guys and their fake qualifications. 
fuck them   
",Negative,your boss is a true singaporean  no to the fucking c guys and their fake qualifications  fuck them    ,boss true singaporean fucking c guys fake qualifications fuck,boss true singaporean fucking c guys fake qualifications fuck,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,Slowdown,"Is this fake news?

If the apeopleicant is truly 42 years old then it is not possible that the employer is able to get an Employment Pass for him with a 5K SGD salary. Govt has already revised the EP requirement. Anyone above 40 years old the salary requirement is doubled (4.5K x 2).

Copied from

Salaries for younger or older candidates
Young graduates from good institutions can qualify if they earn at least $4,500.

Older, more experienced candidates need higher salaries to qualify.

From 1 September 2020, the minimum qualifying salary will be raised to $4,500 for new applications. From 1 December 2020, the minimum qualifying salary for EP candidates in the financial services sector will be raised to $5,000 for new applications. The qualifying salaries for older and more experienced candidates in their 40s will be raised correspondingly and will remain around double the minimum qualifying salary for the youngest applicants. The new salary criteria will apply to those renewing their EPs if their passes are expiring from 1 May 2021.",Positive,is this fake news  if the apeopleicant is truly  years old then it is not possible that the employer is able to get an employment pass for him with a  sgd salary govt has already revised the ep requirement anyone above  years old the salary requirement is doubled  x   copied from  salaries for younger or older candidates young graduates from good institutions can qualify if they earn at least   older more experienced candidates need higher salaries to qualify  from  september  the minimum qualifying salary will be raised to  for new applications from  december  the minimum qualifying salary for ep candidates in the financial services sector will be raised to  for new applications the qualifying salaries for older and more experienced candidates in their  will be raised correspondingly and will remain around double the minimum qualifying salary for the youngest applicants the new salary criteria will apply to those renewing their eps if their passes are expiring from  may ,fake news apeopleicant truly years old possible employer able get employment pass sgd salary govt already revised ep requirement anyone years old salary requirement doubled x copied salaries younger older candidates young graduates good institutions qualify earn least older experienced candidates need higher salaries qualify september minimum qualifying salary raised new applications december minimum qualifying salary ep candidates financial services sector raised new applications qualifying salaries older experienced candidates raised correspondingly remain around double minimum qualifying salary youngest applicants new salary criteria apply renewing eps passes expiring may,fake news apeopleicant truly years old possible employer able get employment pass sgd salary govt already revised ep requirement anyone years old salary requirement doubled x copied salaries younger older candidates young graduates good institutions qualify earn least older experienced candidates need higher salaries qualify september minimum qualifying salary raised new applications december minimum qualifying salary ep candidates financial services sector raised new applications qualifying salaries older experienced candidates raised correspondingly remain around double minimum qualifying salary youngest applicants new salary criteria apply renewing eps passes expiring may,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,Johnpierpontmorgan,"Their PhD buy from where

I want to get a PhD from Harvard.. heard india roadside store also sell",Negative,their phd buy from where  i want to get a phd from harvard heard india roadside store also sell,phd buy want get phd harvard heard india roadside store also sell,phd buy want get phd harvard heard india roadside store also sell,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,Anormalbsguy,"The england of the Ã¢ÂÂ5 k is too lessÃ¢ÂÂ is very powerful.

I agree with the other messages... donÃ¢ÂÂt come here. fuck back to india.",Negative,the england of the Ã¢   k is too lessÃ¢   is very powerful  i agree with the other messages donÃ¢  t come here fuck back to india,england Ã¢ k lessÃ¢ powerful agree messages donÃ¢ come fuck back india,england Ã¢ k lessÃ¢ powerful agree messages donÃ¢ come fuck back india,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,tank_t,ceca jealous ceca got 5k give negative opinion.,Negative,ceca jealous ceca got  give negative opinion,ceca jealous ceca got give negative opinion, jealous  got give negative opinion,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,Anormalbsguy,"



I think $3k rupees only. Can self print also",Negative,    i think  rupees only can self print also,think rupees self print also,think rupees self print also,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,netzach,"fuck off back to india to rape your goats, sheepÃ¢ÂÂs, dogs & cows!!  
",Negative,fuck off back to india to rape your goats sheepÃ¢  s dogs  cows   ,fuck back india rape goats sheepÃ¢ dogs cows,fuck back india rape goats sheepÃ¢ dogs cows,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,nymous,".


I suspect..

Ceca privilege no need all this limitation because of the deal.. aka more ceca to singapore",Negative,   i suspect  ceca privilege no need all this limitation because of the deal aka more ceca to singapore,suspect ceca privilege need limitation deal aka ceca singapore,suspect  privilege need limitation deal aka  singapore,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,ftpofmpo,"

in usa, old indian immigrants with citizenship don't support more green cards, it will put their jobs in danger",Negative,  in usa old indian immigrants with citizenship do not support more green cards it will put their jobs in danger,usa old indian immigrants citizenship support green cards put jobs danger,usa old indian immigrants citizenship support green cards put jobs danger,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,Anormalbsguy,"


They rape toddlers and little girls.",Negative,   they rape toddlers and little girls,rape toddlers little girls,rape toddlers little girls,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,trupurple,"go back to India, maybe can offer higher salary",Negative,go back to india maybe can offer higher salary,go back india maybe offer higher salary,go back india maybe offer higher salary,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,Valien,"happy now, our companies in Singapore need to pay ten of thousands of dollars to hire foreign trashes instead of hiring our locally born Singaporeans.",Negative,happy now our companies in singapore need to pay ten of thousands of dollars to hire foreign trashes instead of hiring our locally born singaporeans,happy companies singapore need pay ten thousands dollars hire foreign trashes instead hiring locally born singaporeans,happy companies singapore need pay ten thousands dollars hire foreign trashes instead hiring locally born singaporeans,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,souldude,"

fuck your mother what kind of English standard is ""too less""?
singaporean employer really low expectations",Negative,  fuck your mother what kind of english standard is too less singaporean employer really low expectations,fuck mother kind english standard less singaporean employer really low expectations,fuck mother kind english standard less singaporean employer really low expectations,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,turnbackclock,5k actually is damn low for someone at 42yo...,Positive, actually is damn low for someone at ,actually damn low someone,actually damn low someone,Positive
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,Joe Maya,what if those CECA who tell him salary is too low are in actual fact EDMW socially awkward fat loser using fake account telling them not to come here.,Negative,what if those ceca who tell him salary is too low are in actual fact edmw socially awkward fat loser using fake account telling them not to come here,ceca tell salary low actual fact edmw socially awkward fat loser using fake account telling come, tell salary low actual fact edmw socially awkward fat loser using fake account telling come,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,Anormalbsguy,"

And they act proud and bully others also when they are rich... from their fake degrees. They are really revolting humans.",Negative,  and they act proud and bully others also when they are rich from their fake degrees they are really revolting humans,act proud bully others also rich fake degrees really revolting humans,act proud bully others also rich fake degrees really revolting humans,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,Doc Madatay,"Have any opposition party bring up CECA issue in parliament yet?
Why not? Supporting CECA?",Negative,have any opposition party bring up ceca issue in parliament yet why not supporting ceca,opposition party bring ceca issue parliament yet supporting ceca,opposition party bring  issue parliament yet supporting ,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,iCube00,"We need talented CECAs to help Singapore move forward

If depend on singaporeans, we gg already 
",Positive,we need talented cecas to help singapore move forward  if depend on singaporeans we gg already  ,need talented cecas help singapore move forward depend singaporeans gg already,need talented s help singapore move forward depend singaporeans gg already,Positive
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,netzach,"Every single 1 of this fucking indians is 1 too many. 
And 1 job for indians is 1 lesser job for singaporeans.  ",Negative,every single  of this fucking indians is  too many  and  job for indians is  lesser job for singaporeans  ,every single fucking indians many job indians lesser job singaporeans,every single fucking indians many job indians lesser job singaporeans,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,Hysteri,Please offer him 15k/mth at least,Positive,please offer him  at least,please offer least,please offer least,Positive
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,SimpliCity2k,"fucking trash also claiming our affordable housing & transport


singaporean peasants can afford... so can they!


",Negative,fucking trash also claiming our affordable housing  transport   singaporean peasants can afford so can they   ,fucking trash also claiming affordable housing transport singaporean peasants afford,fucking trash also claiming affordable housing transport singaporean peasants afford,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,fatscaryuncle,"singapore should make it easier to get degree masters, if not how to defend against foreign talent.

Don't make it easier, just cheaper so singaporean can keep trying. Or got some social support so they can work less and have more time to study. 

Why ns allowance so low, because pap know majority of the families have enough income, can pass on the costs to them. Just give abit to not look like slavery.

Normal singaporeans got so many odds stacked against themself, how to win.",Negative,singapore should make it easier to get degree masters if not how to defend against foreign talent  do not make it easier just cheaper so singaporean can keep trying or got some social support so they can work less and have more time to study   why ns allowance so low because pap know majority of the families have enough income can pass on the costs to them just give abit to not look like slavery  normal singaporeans got so many odds stacked against themself how to win,singapore make easier get degree masters defend foreign talent make easier cheaper singaporean keep trying got social support work less time study ns allowance low pap know majority families enough income pass costs give abit look like slavery normal singaporeans got many odds stacked themself win,singapore make easier get degree masters defend  make easier cheaper singaporean keep trying got social support work less time study ns allowance low pap know majority families enough income pass costs give abit look like slavery normal singaporeans got many odds stacked themself win,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-3,fallen1,"don't bullshit me fucking ceca
Phd in germany???
Easily can get a job in EU and make $10k EUR a month
Still need come here to work for $5k sgd salary??? ",Negative,do not bullshit me fucking ceca phd in germany easily can get a job in eu and make  eur a month still need come here to work for  sgd salary ,bullshit fucking ceca phd germany easily get job eu make eur month still need come work sgd salary,bullshit fucking  phd germany easily get job eu make eur month still need come work sgd salary,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,zuppeur,"
WP recently bring up",Neutral, wp recently bring up,wp recently bring,wp recently bring,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,5408854088,Hahaha hehehe,Neutral,hahaha hehehe,hahaha hehehe,hahaha hehehe,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,serious.boh,Huh?! Got PhD in Germany so good still want to consider 5k offer?!,Negative,huh got phd in germany so good still want to consider  offer,huh got phd germany good still want consider offer,huh got phd germany good still want consider offer,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,nasfieldjohn,"ceca here earn 5k
means they are paid 10k banker job?",Neutral,ceca here earn  means they are paid  banker job,ceca earn means paid banker job, earn means paid banker job,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,Cut_throat,PhD. 5k too little. 9k-15k is normal for PhD.,Positive,phd  too little  is normal for phd,phd little normal phd,phd little normal phd,Positive
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,Tony.Manero,"

I am in awe of his aura. It's so bright.
",Positive,  i am in awe of his aura it is so bright ,awe aura bright,awe aura bright,Positive
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,Tony.Manero,happy now singaporeans,Negative,happy now singaporeans,happy singaporeans,happy singaporeans,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,2Dollar,"Hiring ceca with English standard that says ""is too less"".",Negative,hiring ceca with english standard that says is too less,hiring ceca english standard says less,hiring  english standard says less,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,proton_cannon,"I suspect his germany ""Degrees"" are dubious. If he had studied in Germany, he would have know his networth better already.",Negative,i suspect his germany degrees are dubious if he had studied in germany he would have know his networth better already,suspect germany degrees dubious studied germany would know networth better already,suspect germany degrees dubious studied germany would know networth better already,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,Kuudere,"
Hmmm and also if he had studied in Germany, why didn't he worked there instead of coming over to Singapore? ",Neutral, hmmm and also if he had studied in germany why did not he worked there instead of coming over to singapore ,hmmm also studied germany worked instead coming singapore,hmmm also studied germany worked instead coming singapore,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,netzach,"1 job for this fucking indian is 1 lesser job for a well qualified deserving local. 

Period. 


",Negative, job for this fucking indian is  lesser job for a well qualified deserving local   period    ,job fucking indian lesser job well qualified deserving local period,job fucking indian lesser job well qualified deserving local period,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,kingsfall,5K for a PhD lol. Ok wonder eng roles are being squeeze so bad,Neutral, for a phd lol ok wonder eng roles are being squeeze so bad,phd lol ok wonder eng roles squeeze bad,phd lol ok wonder eng roles squeeze bad,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,,"
Maybe the Germans standards are higher lol",Neutral, maybe the germans standards are higher lol,maybe germans standards higher lol,maybe germans standards higher lol,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,Tony.Manero,"
This one ah?",Neutral, this one ah,one ah,one ah,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,Richliao,Of course la...they smart already....there's a limit to internal competition...they know too many ceca already and its threatening their very own existence in sg lol,Negative,of course lathey smart alreadythere is a limit to internal competitionthey know too many ceca already and its threatening their very own existence in sg lol,course lathey smart alreadythere limit internal competitionthey know many ceca already threatening existence sg lol,course lathey smart alreadythere limit internal competitionthey know many  already threatening existence sg lol,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,hardwrightr,"but the median salary is 4.8k? so is quite ok le
",Neutral,but the median salary is  so is quite ok le ,median salary quite ok le,median salary quite ok le,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,treegreen,"asshole ceca go back,india",Negative,asshole ceca go backindia,asshole ceca go backindia,asshole  go backindia,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,NotWhatYouThink,great! don't take it,Negative,great do not take it,great take,great take,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,Darkraid,all thanks to fumbly heng. all our jobs taken away by ceca,Negative,all thanks to fumbly heng all our jobs taken away by ceca,thanks fumbly heng jobs taken away ceca,thanks fumbly heng jobs taken away ,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-4,theMKR,"5k? for ceca?

don't joke la.

no 7k no talk",Negative, for ceca  do not joke la  no  no talk,ceca joke la talk, joke la talk,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-5,cet87,"
1 indian in= 5 singaporeans out - cos department replaced by same village.",Negative,  indian in  singaporeans out  cos department replaced by same village,indian singaporeans cos department replaced village,indian singaporeans cos department replaced village,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-5,Stroganoff,"ceca A : is this job $5k too low??

ceca B: Too low, give us the company name so we can boycott.

ceca A: is company ZYX

ceca B  ownself quickly send resume.",Neutral,ceca a  is this job  too low  ceca b too low give us the company name so we can boycott  ceca a is company zyx  ceca b  ownself quickly send resume,ceca job low ceca b low give us company name boycott ceca company zyx ceca b ownself quickly send resume, job low  b low give us company name boycott  company zyx  b ownself quickly send resume,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-5,ramlee,reveresed!,Neutral,reveresed,reveresed,reveresed,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-5,Dinoboyboy,"it must be nice to have snakes as friends.

unlike my experience, when i posted something whatlar on fb having offered sgd 1,400/mth job, all my 27 friends were like lol, i should take it and some even told me to ask for a 5 year bond to ensure i can be employed. ",Neutral,it must be nice to have snakes as friends  unlike my experience when i posted something whatlar on fb having offered sgd  job all my  friends were like lol i should take it and some even told me to ask for a  year bond to ensure i can be employed ,must nice snakes friends unlike experience posted something whatlar fb offered sgd job friends like lol take even told ask year bond ensure employed,must nice snakes friends unlike experience posted something whatlar fb offered sgd job friends like lol take even told ask year bond ensure employed,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-5,netzach,it's true bro.,Neutral,it is true bro,true bro,true bro,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-5,JohnnySasaki,That guy tt reply him english like banglah,Negative,that guy tt reply him english like banglah,guy tt reply english like banglah,guy tt reply english like banglah,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-5,asiafrenz,60% voted for CECA high salary and bread crumbs for Singaporeans,Negative, voted for ceca high salary and bread crumbs for singaporeans,voted ceca high salary bread crumbs singaporeans,voted  high salary bread crumbs singaporeans,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-5,neutralph,"42 years old and only 5 years working experience...

Assume his education certifications are legit, means he been studying for most of his life...",Neutral, years old and only  years working experience  assume his education certifications are legit means he been studying for most of his life,years old years working experience assume education certifications legit means studying life,years old years working experience assume education certifications legit means studying life,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-5,erwinrommel,Median salary of singporeans and pr is 4562 sgd in 2019.,Neutral,median salary of singporeans and pr is  sgd in ,median salary singporeans pr sgd,median salary singporeans pr sgd,Neutral
